OPENING_ID,SITE_PREP_,SITEPr_1_Meth,SITE_PREP1,SITE_PRE_1,SITE_PRE_2,SITEPr_2_Meth,SITE_PRE_3,SITE_PRE_4,SITE_PRE_5,SITEPr_3_Type,SITEPr_3_Meth,SITEPr_3_Area,SITEPr_3_Date,SITEPr_4_Type,SITEPr_4_Meth,SITEPr_4_Area,SITEPr_4_Date,PLANTING_1,PLANTING_2,PLANTING_3,PLANT_1_SP1,PLANT_1_NUM2,PLANT_1_SP2,PLANT_1_NUM2,PLANT_1_SP3,PLANT_1_NUM3,PLANTING_4,PLANTING_5,PLANTING_6,PLANT_2_SP1,PLANT_2_NUM1,PLANT_2_SP2,PLANT_2_NUM2,PLANT_2_SP3,PLANT_2_NUM3,PLANTING_C,PLANT_3_Type,PLANT_3_Meth,PLANT_3_Area,PLANT_3_Date,PLANT_3_SP1,PLANT_3_NUM1,PLANT_3_SP2,PLANT_3_NUM2,PLANT_4_Type,PLANT_4_Meth,PLANT_4_Area,PLANT_4_Date,PLANT_4_SP1,PLANT_4_NUM1,PLANT_4_SP2,PLANT_4_NUM2
99308,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,3.8,2002-05-01,PLI,2570,FDI,1430,,,RP,3.3,2004-05-01,PLI,1460,PLI,1320,SX,1230,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
99310,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,RP,5.9,2003-07-01,PLI,3160,NA,NA,,,PL,5.9,2002-05-01,FDI,3440,PLI,3410,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
99530,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,3.8,2003-05-01,PLI,3030,SX,5850,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
99539,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
106099,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
107116,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,FP,5.2,2009-05-21,PLI,1845,SX,1885,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
109041,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,3.1,2002-07-01,PLI,2970,NA,NA,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
110472,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,3.4,2004-05-01,PLI,3135,SX,570,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
110474,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,6.2,2004-05-01,PLI,6000,SX,1260,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
111970,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,PL,2.5,2004-05-01,PLI,2830,SX,540,,,NA,0,NA,NA,NA,NA,NA,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
